长期待摊费用,0,0,0,0,0,0,0,0,224810.09,542025.08,859240.07,1176455.06,1960470.05,1330885.04,1588100.03,1831980.06,2151374.49,2119745.00,2537669.74,2670884.73,76709.73,76709.73,321908.00,321908.00,567106.27,850106.27,1158995.67,0,
递延所得税资产,4040342.75,0,0,4543224.33,4296199.63,4640989.97,4339163.69,3511535.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他非流动资产,0,0,0,47048409.12,19357440.00,19611399.06,13887894.00,2087904.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
非流动资产合计,129372671.39,132788500.00,133692800.00,134270155.07,104560295.63,106391584.00,102878663.69,99497394.06,78495479.94,80705856.13,81573212.72,82653448.45,82901731.43,81968378.51,84734030.19,86885775.55,85093105.81,86979267.83,83843629.44,80936740.40,75274733.97,76110836.85,74291200.72,66639024.85,56743429.49,47224130.23,43150360.54,0,
资产总计,1225492905.88,897442100.00,844506900.00,936206719.83,782147390.65,795015248.73,682101667.80,614813632.08,577216476.69,643712354.49,605070145.87,617780876.43,625386182.49,630730494.99,599650289.84,578386436.09,546525018.77,549840981.02,575586430.66,621303960.25,601293363.92,592499884.51,585899712.44,428448675.84,409120908.22,274985283.32,181277733.65,0,
短期借款,132400000.00,0,0,99100000.00,75000000.00,112500000.00,145196577.90,101000000.00,58000000.00,63000000.00,52800000.00,62800000.00,62800000.00,65300000.00,65300000.00,87800000.00,69799922.08,70799922.08,91699665.94,102064926.33,102099914.93,109099914.93,91771424.74,44400000.00,33400000.00,45400000.00,66500000.00,0,
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付票据及应付账款,357681527.58,0,0,446129454.68,354204624.66,360436642.83,248287481.50,233291214.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付票据,303781038.11,0,0,382044725.56,273261944.90,315200295.42,188120000.00,192388000.00,170420000.00,220650000.00,186360000.00,210233988.40,229962429.90,212700000.00,206461558.50,181637078.70,208289436.42,194583937.00,212113937.00,252221553.00,292220000.00,254440000.00,245020000.00,177880000.00,137798981.50,63358638.00,9350000.00,0,
应付账款,53900489.47,0,0,64084729.12,80942679.76,45236347.41,60167481.50,40903214.79,38171775.73,42267889.66,64373492.53,46729041.09,46321667.61,60396295.02,47127973.95,36898152.55,18362295.05,33154637.70,34889970.49,39913505.99,21061549.72,20031778.61,38101569.72,17197020.93,105688556.44,56183430.80,18315965.60,0,
预收款项,1921307.11,0,0,3082978.00,2652155.35,3360331.61,9831532.60,2488795.74,4029939.76,3287877.24,6192354.71,3288596.93,6032744.11,5798496.06,2851952.04,6034244.53,6649236.14,3153109.50,4379793.12,1626029.47,1652365.78,858017.54,4011843.33,3235003.71,1053285.39,827669.66,4586415.15,0,
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付职工薪酬,5786863.33,0,0,11614042.55,8318228.60,8251967.22,13912720.70,12943799.88,8176051.85,8195650.10,7800449.24,7611649.77,6042027.22,7653384.02,7611888.93,7762060.48,6519566.03,9016691.24,7526869.32,5151232.18,4108887.57,6446311.85,3974541.68,3369901.22,1779916.18,4342730.03,4155189.15,0,
应交税费,2214146.32,0,0,3759088.71,7468939.94,4668296.17,5043090.33,2465644.37,2124291.97,3461632.50,2244994.82,4558488.13,2122119.45,3800161.80,4807204.85,2305613.32,-576210.51,1054715.98,2561265.77,1882013.67,2651347.40,2145775.89,2475424.23,2724605.06,-618634.90,-2576901.92,2673295.43,0,
其他应付款(合计),3633199.69,0,0,68210.03,205428.00,0,18084526.79,50801845.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,8130000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12977430.98,0,0,0,0,
其他应付款,0,0,0,68210.03,0,0,9954526.79,0,3687186.00,21425294.02,7431706.11,12628580.90,11780675.07,21704347.11,21089633.95,19502060.94,7083053.90,8594291.17,-5011591.43,-4612447.78,-1879916.63,27381607.48,39196045.16,31279904.88,1648389.94,6677938.14,6297302.20,0,
预提费用,0,0,0,0,0,0,0,0,7200000.00,0,5600000.00,2800000.00,800000.00,0,0,0,0,0,840000.00,120000.00,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他流动负债,0,0,0,0,0,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218864.08,0,2097300.69,0,
流动负债合计,503637044.03,502635300.00,460782000.00,563753773.97,447849376.55,492217237.83,440355929.82,402991299.85,291949848.37,362495492.69,332968955.37,350931381.85,365991093.79,377453750.61,355487929.74,342157113.65,316127299.10,320391683.18,349214448.43,398490010.03,422052508.07,421263725.75,424710046.73,293071445.69,281969358.63,174213504.71,103975468.22,0,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000.00,40000000.00,0,0,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,0,0,41815000.00,41148333.00,40740000.00,40185000.00,41757500.00,41202500.00,40647500.00,40092500.00,41757500.00,41560000.00,0,0,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,500000.00,0,675000.00,675000.00,525000.00,0,200000.00,0,0,200000.00,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,500000.00,0,0,0,500000.00,0,200000.00,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,0.00,0,0,0.00,0.00,0.00,0.00,0.00,42315000.00,41648333.00,41415000.00,40860000.00,42282500.00,41702500.00,40847500.00,40292500.00,41757500.00,41760000.00,40000000.00,40000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,
负债合计,503637044.03,502635300.00,460782000.00,563753773.97,447849376.55,492217237.83,440355929.82,402991299.85,334264848.37,404143825.69,374383955.37,391791381.85,408273593.79,419156250.61,396335429.74,382449613.65,357884799.10,362151683.18,389214448.43,438490010.03,422052508.07,421263725.75,424710046.73,293071445.69,281969358.63,174213504.71,103975468.22,0,
实收资本(或股本),100000000.00,0,0,75000000.00,75000000.00,75000000.00,75000000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,24900000.00,0,
