资本公积,1996028309.68,1990879840.57,2080354733.12,2074033302.47,2012168904.68,2012168904.68,354895109.04,354895109.04,327907813.76,326060542.02,118209697.97,28854904.95,0,
减：库存股,56616179.74,56616179.74,56616179.74,56616179.74,0,0,0,0,0,0,0,0,0,
其他综合收益,-1873472.76,2868929.74,3219972.38,1730773.93,2343429.03,1155699.38,258523.91,1195300.75,365921.78,138538.24,170254.61,-150329.97,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,69545427.00,69545427.00,69545427.00,69545427.00,30539426.89,30539426.89,30539426.89,30539426.89,29791885.13,29791885.13,5231346.20,5231346.20,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,751933810.22,661928220.92,646804881.45,694617273.27,664218751.99,532122492.61,437394721.67,419499625.32,189686565.35,284015559.74,169303676.20,107540957.48,0,
归属于母公司股东权益合计,2995472345.40,2905060689.49,2882399688.21,2922401450.93,2846504489.59,2713220500.56,926011758.51,909053439.00,650676163.02,742930502.13,342914974.98,191476878.66,0,
少数股东权益,25472808.09,21703419.10,16882712.65,16970400.73,20026234.67,17690866.43,15887993.56,17696794.65,4577769.48,1459517.20,17143942.94,10148808.20,0,
所有者权益(或股东权益)合计,3020945153.49,2926764108.59,2899282400.86,2939371851.66,2866530724.26,2730911366.99,941899752.07,926750233.65,655253932.50,744390019.33,360058917.92,201625686.86,0,
负债和所有者权益(或股东权益)总计,4375174104.61,3873974898.91,3623813208.63,3964145370.85,4031738703.06,4130589724.40,1852970507.49,2155356410.24,2035990514.47,1838197617.49,1118479956.49,834854932.63,0,
