其他流动负债,2271752.63,1716909.24,0,0,0,0,0,2360000.00,0,0,0,0,0,0,0,0,0,0,0,
流动负债合计,307740785.50,345261209.55,313468481.94,477979219.11,329646926.49,352505091.78,362712989.71,165133875.56,149469641.12,116862278.13,103379449.51,111176710.01,213711588.07,262612034.85,126353123.55,49708078.63,45718396.97,76181946.54,0,
长期借款,0,0,0,0,0,0,0,0,0,60000000.00,60000000.00,60000000.00,0,0,0,0,0,0,0,
应付债券,0,0,0,0,0,0,0,96893050.00,96449200.00,96005350.00,95561500.00,95117650.00,94673800.00,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,8158973.08,8010400.38,6891628.52,7137681.75,6117884.36,3391311.55,3394603.46,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,14854540.04,14338415.11,14083560.05,7992270.57,5145468.74,4391571.47,2807729.03,0,0,0,0,0,0,0,0,0,0,0,0,
长期递延收益,32261991.93,34837310.33,38749856.09,44209153.19,47826263.97,59127233.66,800000.00,0,0,0,0,0,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
非流动负债合计,55275505.05,57186125.82,59725044.66,59339105.51,59089617.07,66910116.68,7002332.49,96893050.00,96449200.00,156005350.00,155561500.00,155117650.00,94673800.00,0.00,0.00,0.00,0,0,0,
负债合计,363016290.55,402447335.37,373193526.60,537318324.62,388736543.56,419415208.46,369715322.20,262026925.56,245918841.12,272867628.13,258940949.51,266294360.01,308385388.07,262612034.85,126353123.55,49708078.63,45718396.97,76181946.54,0,
实收资本(或股本),400090000.00,360000000.00,360000000.00,360000000.00,360000000.00,100000000.00,100000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,50000000.00,40000000.00,0,
资本公积,593627129.71,63565640.23,63565640.23,44220391.58,44220391.58,1551700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,-2279354.65,10267407.59,5944637.37,1283705.73,742246.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,46809385.44,46809385.44,46809385.44,25232553.65,25232553.65,50000000.00,50000000.00,16926061.12,16926061.12,24445538.09,24445538.09,24445538.09,24445538.09,19437820.37,19351954.49,12223241.45,7312424.23,3702275.18,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,697936380.91,564254059.92,441669748.71,306945417.33,249086236.20,263830922.87,501511015.35,154906915.46,141244776.33,133917502.57,110863798.11,101653509.19,89952087.48,105171520.18,69463467.13,65305049.77,109107694.79,76616353.30,0,
归属于母公司股东权益合计,1736183541.41,1044896493.18,917989411.75,737682068.29,679281427.85,415382622.87,651511015.35,371832976.58,358170837.45,358363040.66,335309336.20,326099047.28,314397625.57,324609340.55,288815421.62,277528291.22,166420119.02,120318628.48,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,1736183541.41,1044896493.18,917989411.75,737682068.29,679281427.85,415382622.87,651511015.35,371832976.58,358170837.45,358363040.66,335309336.20,326099047.28,314397625.57,324609340.55,288815421.62,277528291.22,166420119.02,120318628.48,0,
负债和所有者权益(或股东权益)总计,2099199831.96,1447343828.55,1291182938.35,1275000392.91,1068017971.41,834797831.33,1021226337.55,633859902.14,604089678.57,631230668.79,594250285.71,592393407.29,622783013.64,587221375.40,415168545.17,327236369.85,212138515.99,196500575.02,0,
