其他应付款(合计),74265315.54,90216109.74,0,64346300.00,10759000.00,13849712.45,23140600.00,18724402.85,35153892.71,0,0,0,0,0,0,0,0,0,0,0,
应付利息,0,0,0,0,0,0,0,0,0,308840.28,1027753.14,419524.55,262053.60,342623.99,253519.32,0,91060.99,0,0,0,
应付股利,0,0,0,0,0,0,0,0,0,26114123.14,26114123.14,26114123.14,26114123.14,26114123.14,26114123.14,0,26114123.14,31627273.52,28412423.60,0,
其他应付款,0,0,0,0,0,0,0,0,0,44484960.13,48517536.20,20927290.14,34393483.62,38927172.49,37133700.06,0,1898276.95,2189722.90,2441467.22,0,
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动负债,16019968.58,12050000.00,0,10871000.00,16065200.00,24078145.66,44130500.00,15500000.00,0,0,0,0,0,0,0,0,0,6000000.00,0,0,
其他流动负债,202619499.51,247567726.58,0,182280000.00,247191600.00,0,259099200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,
流动负债合计,1000724003.63,1215947236.24,0,1056158800.00,994646500.00,824032682.29,905740700.00,461134436.34,423618364.99,509712688.71,488585379.14,472028667.86,384926493.72,337052139.85,327849139.87,0,186322565.81,165732717.21,254086997.06,0,
长期借款,11446897.60,19268986.01,0,17526900.00,15875800.00,22298200.00,31941000.00,37921200.00,25000000.00,95000000.00,95000000.00,95000000.00,70000000.00,50000000.00,50000000.00,0,0,0,12000000.00,0,
应付债券,0,0,0,0,0,0,0,0,0,0,0,30000000.00,0,0,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
递延所得税负债,1773629.63,1773629.65,0,1773600.00,1549300.00,0,0,0,0,-948658.26,-948658.26,-2646833.45,0,0,0,0,1824.81,0,0,0,
长期递延收益,65891670.79,62574683.91,0,61770600.00,50581400.00,32887836.88,15689400.00,4910855.20,882138.32,0,0,0,0,0,0,0,0,0,0,0,
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,1700000.00,0,0,0,0,0,0,0,
非流动负债合计,79112198.02,83617299.57,0,81071200.00,68006400.00,55186036.88,47630300.00,42832055.20,25882138.32,94051341.74,94051341.74,122353166.55,71700000.00,50000000.00,50000000.00,0,1824.81,0,12000000.00,0,
负债合计,1079836201.65,1299564535.81,1205773500.00,1137230000.00,1062652900.00,879218719.17,953371000.00,503966491.54,449500503.31,603764030.45,582636720.88,594381834.41,456626493.72,387052139.85,377849139.87,292000000.00,186324390.62,165732717.21,266086997.06,0,
实收资本(或股本),234400000.00,175800000.00,0,175800000.00,175800000.00,175800000.00,175800000.00,172049496.80,172049496.80,156665104.73,156665104.73,156665104.73,156665104.73,156665104.73,156665104.73,0,156665104.73,156665104.73,107139342.14,0,
资本公积,1927121611.93,199642166.62,0,199642200.00,199310700.00,195759300.46,195759300.00,26666143.26,26666143.26,23426730.43,19506730.43,20222967.59,14050535.33,50535.33,50535.33,0,50535.33,50535.33,46579.92,0,
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盈余公积,31636676.20,31636676.20,0,31636700.00,16257000.00,4753152.47,5009200.00,38415168.09,31082811.24,23966533.69,23966533.69,22188815.29,23966533.69,22188815.29,22188815.29,0,22188815.29,22188815.29,13188815.29,0,
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
未分配利润,353384424.84,331004661.59,0,263948500.00,145784400.00,134064370.19,44856500.00,88545521.54,69564299.93,62894641.47,48578942.96,60701249.43,41652744.91,60135162.62,60318322.50,0,23430012.90,21399728.96,66861485.81,0,
归属于母公司股东权益合计,2546542712.97,738083504.41,703158700.00,671027300.00,537152100.00,510376823.12,421425000.00,325676329.69,299362751.23,266953010.32,248717311.81,259778137.04,236334918.66,207611130.55,239222777.85,223000000.00,202334468.25,200304184.31,187236223.16,0,
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
所有者权益(或股东权益)合计,2546542712.97,738083504.41,703158700.00,671027300.00,537152100.00,510376823.12,421425000.00,325676329.69,299362751.23,266953010.32,248717311.81,259778137.04,236334918.66,207611130.55,239222777.85,223000000.00,202334468.25,200304184.31,187236223.16,0,
负债和所有者权益(或股东权益)总计,3626378914.62,2037648040.22,1908932200.00,1808257300.00,1599805000.00,1389595542.29,1374796000.00,829642821.23,748863254.54,870717040.77,831354032.69,854159971.45,692961412.38,626091757.82,617071917.72,515000000.00,388658858.87,366036901.52,453323220.22,0,
