000597.SZ,东北制药,5.16,1.375,a股
000600.SZ,建投能源,5.89,4.064,a股
000598.SZ,兴蓉环境,4.8,1.053,a股
000601.SZ,韶能股份,6.99,3.097,a股
000605.SZ,渤海股份,5.83,3.552,a股
000603.SZ,盛达资源,15.97,3.299,a股
000599.SZ,青岛双星,4.19,0.48,a股
000606.SZ,顺利办,3.71,0.815,a股
000607.SZ,华媒控股,3.98,-0.5,a股
000609.SZ,中迪投资,4.62,1.987,a股
000608.SZ,阳光股份,3.15,1.613,a股
000610.SZ,西安旅游,8.26,0.609,a股
000611.SZ,ST天首,2.77,1.465,a股
000613.SZ,大东海A,4.46,-3.879,a股
000615.SZ,奥园美谷,6.9,-0.145,a股
000617.SZ,中油资本,6.6,0,a股
000616.SZ,海航投资,2.44,2.092,a股
000619.SZ,海螺型材,5.9,2.076,a股
000620.SZ,新华联,2.52,0,a股
000622.SZ,恒立实业,3.81,3.533,a股
000623.SZ,吉林敖东,16.36,0.553,a股
000625.SZ,长安汽车,22.07,-0.271,a股
000626.SZ,远大控股,13.19,-3.37,a股
000627.SZ,天茂集团,4.8,0.209,a股
000628.SZ,高新发展,8.23,0.611,a股
000629.SZ,攀钢钒钛,2.22,2.304,a股
000630.SZ,铜陵有色,2.6,2.767,a股
000633.SZ,合金投资,4.98,5.063,a股
000631.SZ,顺发恒业,3.15,1.942,a股
000632.SZ,三木集团,4.15,0.973,a股
000636.SZ,风华高科,34.1,1.247,a股
000635.SZ,英力特,8.09,2.147,a股
000637.SZ,茂化实华,4.11,1.733,a股
000638.SZ,万方发展,7.09,5.037,a股
000650.SZ,仁和药业,6.19,0,a股
000652.SZ,泰达股份,5.23,0,a股
000651.SZ,格力电器,59.21,-1.415,a股
000655.SZ,金岭矿业,8.53,6.625,a股
000656.SZ,金科股份,6.77,0.894,a股
000659.SZ,珠海中富,2.83,7.197,a股
000661.SZ,长春高新,434,3.798,a股
000662.SZ,*ST天夏,0.89,4.706,a股
000663.SZ,*ST永林,3.94,5.067,a股
000665.SZ,湖北广电,4.42,0.455,a股
000666.SZ,经纬纺机,8.1,1.124,a股
000668.SZ,荣丰控股,12.91,4.029,a股
000667.SZ,美好置业,3.75,-0.794,a股
000669.SZ,*ST金鸿,2.25,1.81,a股
000670.SZ,*ST盈方,--,--,a股
000671.SZ,阳光城,6.48,-1.22,a股
000673.SZ,*ST当代,1.18,1.724,a股
000672.SZ,上峰水泥,19.32,-1.629,a股
000678.SZ,襄阳轴承,4.79,1.055,a股
000676.SZ,智度股份,5.02,0,a股
000677.SZ,恒天海龙,2.95,2.788,a股
000679.SZ,*ST友谊,2.91,3.192,a股
000680.SZ,山推股份,3.7,1.37,a股
000681.SZ,视觉中国,12.94,-1.221,a股
000685.SZ,中山公用,8.34,3.09,a股
000682.SZ,东方电子,5.35,0.564,a股
000683.SZ,远兴能源,2.22,1.835,a股
000686.SZ,东北证券,9.35,1.852,a股
000687.SZ,*ST华讯,1.57,1.948,a股
000688.SZ,国城矿业,10.08,-0.395,a股
000690.SZ,宝新能源,7.42,2.628,a股
000691.SZ,亚太实业,4.69,-1.883,a股
000695.SZ,滨海能源,5.88,1.031,a股
000692.SZ,惠天热电,3.02,4.138,a股
000697.SZ,炼石航空,10.83,2.557,a股
000698.SZ,沈阳化工,4.6,-0.433,a股
000700.SZ,模塑科技,5.46,-2.674,a股
000701.SZ,厦门信达,5.11,1.188,a股
000702.SZ,正虹科技,5.6,-1.582,a股
000703.SZ,恒逸石化,11.91,0.168,a股
000705.SZ,浙江震元,7.14,0.563,a股
000707.SZ,ST双环,2.28,0.885,a股
000708.SZ,中信特钢,21.3,2.404,a股
000710.SZ,贝瑞基因,38.8,-4.879,a股
000711.SZ,京蓝科技,2.77,0.362,a股
000713.SZ,丰乐种业,15.69,0.641,a股
000712.SZ,锦龙股份,14.94,2.61,a股
000715.SZ,中兴商业,4.8,2.128,a股
000717.SZ,韶钢松山,4.38,3.792,a股
000716.SZ,黑芝麻,3.48,-2.247,a股
000718.SZ,苏宁环球,3.23,0.938,a股
000721.SZ,西安饮食,4.27,0.946,a股
000722.SZ,湖南发展,7.4,4.225,a股
000725.SZ,京东方A,5.69,0,a股
000729.SZ,燕京啤酒,8.5,-2.857,a股
000727.SZ,*ST东科,2.44,0.412,a股
000726.SZ,鲁泰A,6.69,-0.446,a股
000728.SZ,国元证券,8.48,2.046,a股
000732.SZ,泰禾集团,3.32,0,a股
000731.SZ,四川美丰,5.15,4.04,a股
000733.SZ,振华科技,57,2.684,a股
000735.SZ,罗牛山,9.09,-1.196,a股
000736.SZ,中交地产,6.7,0.15,a股
000750.SZ,国海证券,5.41,1.501,a股
000739.SZ,普洛药业,22.44,-0.488,a股
000737.SZ,ST南风,5,4.822,a股
000738.SZ,航发控制,22.1,1.937,a股
000751.SZ,锌业股份,3.6,5.882,a股
000752.SZ,*ST西发,3.81,0.528,a股
000755.SZ,山西路桥,3.46,1.765,a股
000756.SZ,新华制药,9.62,0.418,a股
000753.SZ,漳州发展,2.88,1.053,a股
000761.SZ,本钢板材,3.22,1.899,a股
000760.SZ,*ST斯太,--,--,a股
000757.SZ,浩物股份,4.82,-0.207,a股
000759.SZ,中百集团,6.08,0.662,a股
000758.SZ,中色股份,5.31,8.589,a股
000762.SZ,西藏矿业,14.28,4.386,a股
000777.SZ,中核科技,13.2,2.884,a股
000776.SZ,广发证券,15.72,1.814,a股
000778.SZ,新兴铸管,3.71,1.366,a股
000767.SZ,晋控电力,3.21,9.932,a股
000768.SZ,中航西飞,33.15,0.121,a股
000788.SZ,北大医药,6.17,0.325,a股
000779.SZ,甘咨询,9.72,1.04,a股
000780.SZ,*ST平能,3.49,-1.69,a股
000783.SZ,长江证券,7.95,1.533,a股
000785.SZ,居然之家,8,4.712,a股
000789.SZ,万年青,13.18,-0.152,a股
000782.SZ,美达股份,3.24,2.857,a股
000786.SZ,北新建材,36.8,2.364,a股
000790.SZ,华神科技,4.49,0.673,a股
000791.SZ,甘肃电投,4.98,9.934,a股
000796.SZ,凯撒旅业,13.69,6.124,a股
000797.SZ,中国武夷,3.1,0.324,a股
000793.SZ,华闻集团,2.58,0,a股
000798.SZ,中水渔业,13.3,-0.82,a股
000792.SZ,*ST盐湖,--,--,a股
000795.SZ,英洛华,5.56,2.963,a股
000800.SZ,一汽解放,12.03,-1.15,a股
000799.SZ,酒鬼酒,127.58,1.714,a股
000809.SZ,铁岭新城,1.99,0,a股
000806.SZ,*ST银河,1.61,3.205,a股
000803.SZ,*ST北能,13.41,0.449,a股
000807.SZ,云铝股份,7.84,3.841,a股
000811.SZ,冰轮环境,8.5,-0.235,a股
000810.SZ,创维数字,7.72,-0.129,a股
000819.SZ,岳阳兴长,6.84,0.146,a股
000815.SZ,美利云,5.33,0.377,a股
000818.SZ,航锦科技,19.41,-0.818,a股
000812.SZ,陕西金叶,3.62,3.725,a股
000813.SZ,德展健康,4.86,-9.665,a股
000822.SZ,山东海化,3.77,0.533,a股
000820.SZ,*ST节能,1.06,0.952,a股
000821.SZ,京山轻机,9.42,-1.464,a股
000823.SZ,超声电子,11.33,0.532,a股
000825.SZ,太钢不锈,3.67,2.801,a股
000826.SZ,启迪环境,6.99,0.721,a股
000829.SZ,天音控股,6.7,0.752,a股
000830.SZ,鲁西化工,12.93,7.036,a股
000833.SZ,粤桂股份,4.5,0.446,a股
000831.SZ,五矿稀土,13.7,3.553,a股
000835.SZ,*ST长动,1.76,-3.297,a股
000836.SZ,富通鑫茂,2.81,0.717,a股
000837.SZ,*ST秦机,7.27,0,a股
000839.SZ,中信国安,2.36,1.724,a股
000838.SZ,财信发展,2.72,1.493,a股
000850.SZ,华茂股份,3.94,-1.253,a股
000852.SZ,石化机械,4.5,2.273,a股
000848.SZ,承德露露,7.4,-0.671,a股
000858.SZ,五粮液,275.92,0.218,a股
000856.SZ,冀东装备,7.3,0.829,a股
000859.SZ,国风塑业,5,1.01,a股
000860.SZ,顺鑫农业,68.8,-0.85,a股
000862.SZ,银星能源,5.11,3.232,a股
000868.SZ,ST安凯,4.35,0.928,a股
000863.SZ,三湘印象,4.62,0.217,a股
000869.SZ,张裕A,44.9,1.172,a股
000875.SZ,吉电股份,4.56,4.828,a股
000877.SZ,天山股份,15.06,1.963,a股
000876.SZ,新希望,20.79,-2.44,a股
000878.SZ,云南铜业,15.03,3.016,a股
000881.SZ,中广核技,8.86,4.113,a股
000880.SZ,潍柴重机,9.42,-0.738,a股
000882.SZ,华联股份,1.91,0.526,a股
000883.SZ,湖北能源,3.95,3.675,a股
000886.SZ,海南高速,4.98,0,a股
000888.SZ,峨眉山A,5.86,0.171,a股
000887.SZ,中鼎股份,11.81,-1.583,a股
000890.SZ,*ST胜尔,2.81,1.812,a股
000889.SZ,中嘉博创,5.28,0.956,a股
000892.SZ,欢瑞世纪,2.6,2.767,a股
000895.SZ,双汇发展,46.17,1.361,a股
000893.SZ,亚钾国际,8.03,0.501,a股
000897.SZ,津滨发展,2.45,3.376,a股
000898.SZ,鞍钢股份,3.18,0.952,a股
000899.SZ,赣能股份,7.26,10,a股
000906.SZ,浙商中拓,6.5,2.362,a股
000901.SZ,航天科技,9.88,-0.202,a股
000905.SZ,厦门港务,6.9,2.222,a股
000903.SZ,云内动力,4.47,-0.667,a股
